route,control_id,label,classification,source_file,expected_effect,endpoint,mutation_persistence,safety_constraint,test_status,screenshot
(shared),explanation-calc-trace,explanation-calc-trace,SAFE_READ,components/ExplanationPanel.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),measured-${mv.code},measured-${mv.code},SAFE_READ,components/ExplanationPanel.tsx,dynamic row/control,,component-defined,manual_only; no broker write,unit_or_pending,
(shared),universe-v2-panel,universe-v2-panel,SAFE_READ,components/UniverseV2Panel.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),universe-v2-refresh-error,universe-v2-refresh-error,SAFE_REFRESH,components/UniverseV2Panel.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),universe-v2-empty,universe-v2-empty,SAFE_READ,components/UniverseV2Panel.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),universe-v2-freshness,universe-v2-freshness,SAFE_READ,components/UniverseV2Panel.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),universe-v2-lifecycle,universe-v2-lifecycle,SAFE_READ,components/UniverseV2Panel.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),universe-v2-strategies,universe-v2-strategies,SAFE_READ,components/UniverseV2Panel.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),universe-v2-top-reasons,universe-v2-top-reasons,SAFE_READ,components/UniverseV2Panel.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
(shared),nav-legacy-note,nav-legacy-note,SAFE_READ,layout/Sidebar.tsx,see component,,n/a,manual_only; no broker write,unit_or_pending,
/backtest,r40-strategy-lab-note,r40-strategy-lab-note,SAFE_READ,pages/BacktestPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/backtest.png
/backtest,r40-simulation-banner,r40-simulation-banner,SAFE_READ,pages/BacktestPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/backtest.png
/backtest,r40-last-run,r40-last-run,SAFE_READ,pages/BacktestPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/backtest.png
/backtest,r40-no-last-run,r40-no-last-run,SAFE_READ,pages/BacktestPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/backtest.png
/backtest,backtest-start-date,backtest-start-date,MUTATION_REVERSIBLE,pages/BacktestPage.tsx,see component,,component-defined,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/backtest.png
/backtest,backtest-end-date,backtest-end-date,MUTATION_REVERSIBLE,pages/BacktestPage.tsx,see component,,component-defined,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/backtest.png
/backtest,backtest-include-paper,backtest-include-paper,MUTATION_REVERSIBLE,pages/BacktestPage.tsx,see component,,component-defined,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/backtest.png
/backtest,backtest-paper-only,backtest-paper-only,MUTATION_REVERSIBLE,pages/BacktestPage.tsx,see component,,component-defined,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/backtest.png
/backtest,backtest-run-btn,backtest-run-btn,MUTATION_REVERSIBLE,pages/BacktestPage.tsx,see component,,component-defined,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/backtest.png
/backtest,backtest-simulation-label,backtest-simulation-label,MUTATION_REVERSIBLE,pages/BacktestPage.tsx,see component,,component-defined,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/backtest.png
/backtest,backtest-results,backtest-results,MUTATION_REVERSIBLE,pages/BacktestPage.tsx,see component,,component-defined,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/backtest.png
/backtest,backtest-download-json,backtest-download-json,MUTATION_REVERSIBLE,pages/BacktestPage.tsx,see component,,component-defined,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/backtest.png
/backtest,backtest-download-csv,backtest-download-csv,MUTATION_REVERSIBLE,pages/BacktestPage.tsx,see component,,component-defined,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/backtest.png
/,page-command-center,page-command-center,SAFE_READ,pages/DashboardPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/home.png
/,command-center-summary,command-center-summary,SAFE_READ,pages/DashboardPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/home.png
/,command-center-opportunities-summary,command-center-opportunities-summary,SAFE_READ,pages/DashboardPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/home.png
/,command-center-stay-in-cash,command-center-stay-in-cash,SAFE_READ,pages/DashboardPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/home.png
/,command-center-alerts,command-center-alerts,SAFE_READ,pages/DashboardPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/home.png
/,mock-artifact-banner,mock-artifact-banner,SAFE_READ,pages/DashboardPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/home.png
/,legacy-diagnostics,legacy-diagnostics,SAFE_READ,pages/DashboardPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/home.png
/,action-needed-card,action-needed-card,SAFE_READ,pages/DashboardPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/home.png
/,guardrails-card,guardrails-card,SAFE_READ,pages/DashboardPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/home.png
/,guardrails-available-budget,guardrails-available-budget,SAFE_READ,pages/DashboardPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/home.png
/,guardrails-cash-secured-committed,guardrails-cash-secured-committed,SAFE_READ,pages/DashboardPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/home.png
/,guardrails-csp-cash-available,guardrails-csp-cash-available,SAFE_READ,pages/DashboardPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/home.png
/,action-needed-options-row-${item.symbol},action-needed-options-row-${item.symbol},SAFE_READ,pages/DashboardPage.tsx,dynamic row/control,,component-defined,manual_only; no broker write,playwright_route_pack,
/,action-needed-severity-${item.symbol},action-needed-severity-${item.symbol},SAFE_READ,pages/DashboardPage.tsx,dynamic row/control,,component-defined,manual_only; no broker write,playwright_route_pack,
/,action-needed-sizing-${item.symbol},action-needed-sizing-${item.symbol},SAFE_READ,pages/DashboardPage.tsx,dynamic row/control,,component-defined,manual_only; no broker write,playwright_route_pack,
/,action-needed-csp-advisory-${item.symbol},action-needed-csp-advisory-${item.symbol},SAFE_READ,pages/DashboardPage.tsx,dynamic row/control,,component-defined,manual_only; no broker write,playwright_route_pack,
/,action-needed-mark-${item.symbol},action-needed-mark-${item.symbol},SAFE_READ,pages/DashboardPage.tsx,dynamic row/control,,component-defined,manual_only; no broker write,playwright_route_pack,
/,action-needed-pct-profit-${item.symbol},action-needed-pct-profit-${item.symbol},SAFE_READ,pages/DashboardPage.tsx,dynamic row/control,,component-defined,manual_only; no broker write,playwright_route_pack,
/,action-needed-roll-reason-${item.symbol},action-needed-roll-reason-${item.symbol},SAFE_READ,pages/DashboardPage.tsx,dynamic row/control,,component-defined,manual_only; no broker write,playwright_route_pack,
/,action-needed-ticket-${item.symbol},action-needed-ticket-${item.symbol},SAFE_READ,pages/DashboardPage.tsx,dynamic row/control,,component-defined,manual_only; no broker write,playwright_route_pack,
/,action-needed-shares-row-${item.symbol},action-needed-shares-row-${item.symbol},SAFE_READ,pages/DashboardPage.tsx,dynamic row/control,,component-defined,manual_only; no broker write,playwright_route_pack,
/journal,journal-download-readiness-packs,journal-download-readiness-packs,MUTATION_REVERSIBLE,pages/JournalPage.tsx,see component,,component-defined,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/journal.png
/journal,journal-include-paper,journal-include-paper,SAFE_READ,pages/JournalPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/journal.png
/journal,journal-paper-only,journal-paper-only,SAFE_READ,pages/JournalPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/journal.png
/journal,journal-filter-has-pack,journal-filter-has-pack,MUTATION_REVERSIBLE,pages/JournalPage.tsx,see component,,component-defined,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/journal.png
/journal,journal-paper-badge,journal-paper-badge,SAFE_READ,pages/JournalPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/journal.png
/journal,journal-open-link,journal-open-link,SAFE_READ,pages/JournalPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/journal.png
/journal,journal-view-readiness-pack,journal-view-readiness-pack,MUTATION_REVERSIBLE,pages/JournalPage.tsx,see component,,component-defined,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/journal.png
/journal,journal-download-readiness-pack,journal-download-readiness-pack,MUTATION_REVERSIBLE,pages/JournalPage.tsx,see component,,component-defined,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/journal.png
/learn,learn-daily-routine,learn-daily-routine,SAFE_READ,pages/LearnPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/learn.png
/learn,learn-does-doesnot,learn-does-doesnot,SAFE_READ,pages/LearnPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/learn.png
/learn,learn-key-terms,learn-key-terms,SAFE_READ,pages/LearnPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/learn.png
/learn,learn-mistakes,learn-mistakes,SAFE_READ,pages/LearnPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/learn.png
/learn,learn-links,learn-links,SAFE_READ,pages/LearnPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/learn.png
/notifications,page-notifications,page-notifications,SAFE_READ,pages/NotificationsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/notifications.png
/opportunities,opportunities-page,opportunities-page,SAFE_READ,pages/OpportunitiesPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/opportunities.png
/opportunities,${testIdPrefix}-${item.symbol},${testIdPrefix}-${item.symbol},SAFE_READ,pages/OpportunitiesPage.tsx,dynamic row/control,,component-defined,manual_only; no broker write,playwright_route_pack,
/opportunities,opp-near-miss-uv2-${nm.symbol},opp-near-miss-uv2-${nm.symbol},SAFE_READ,pages/OpportunitiesPage.tsx,dynamic row/control,,component-defined,manual_only; no broker write,playwright_route_pack,
/paper,paper-th-entry,paper-th-entry,SAFE_READ,pages/PaperPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/paper.png
/paper,paper-th-mark,paper-th-mark,SAFE_READ,pages/PaperPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/paper.png
/paper,paper-th-unrealized,paper-th-unrealized,SAFE_READ,pages/PaperPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/paper.png
/paper,paper-th-asof,paper-th-asof,SAFE_READ,pages/PaperPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/paper.png
/paper,paper-position-row,paper-position-row,SAFE_READ,pages/PaperPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/paper.png
/paper,paper-cell-mark,paper-cell-mark,SAFE_READ,pages/PaperPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/paper.png
/paper,paper-cell-unrealized,paper-cell-unrealized,SAFE_READ,pages/PaperPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/paper.png
/paper,paper-cell-asof,paper-cell-asof,SAFE_READ,pages/PaperPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/paper.png
/paper,paper-close-btn,paper-close-btn,MUTATION_REVERSIBLE,pages/PaperPage.tsx,see component,,component-defined,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/paper.png
/paper,paper-summary-card,paper-summary-card,SAFE_READ,pages/PaperPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/paper.png
/paper,paper-positions-card,paper-positions-card,SAFE_READ,pages/PaperPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/paper.png
/paper,paper-filter-symbol,paper-filter-symbol,SAFE_READ,pages/PaperPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/paper.png
/paper,paper-filter-strategy,paper-filter-strategy,SAFE_READ,pages/PaperPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/paper.png
/paper,paper-refresh-marks,paper-refresh-marks,SAFE_REFRESH,pages/PaperPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/paper.png
/paper,paper-tab-open,paper-tab-open,SAFE_READ,pages/PaperPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/paper.png
/paper,paper-tab-closed,paper-tab-closed,MUTATION_REVERSIBLE,pages/PaperPage.tsx,see component,,component-defined,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/paper.png
/paper,paper-close-modal,paper-close-modal,MUTATION_REVERSIBLE,pages/PaperPage.tsx,see component,,component-defined,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/paper.png
/paper,paper-close-price-input,paper-close-price-input,MUTATION_REVERSIBLE,pages/PaperPage.tsx,see component,,component-defined,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/paper.png
/paper,paper-close-submit,paper-close-submit,MUTATION_REVERSIBLE,pages/PaperPage.tsx,see component,,component-defined,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/paper.png
/portfolio,page-portfolio,page-portfolio,SAFE_READ,pages/PortfolioPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/portfolio.png
/portfolio,portfolio-provenance,portfolio-provenance,SAFE_READ,pages/PortfolioPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/portfolio.png
/positions,positions-integrity-strip,positions-integrity-strip,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-integrity-status,positions-integrity-status,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-integrity-last-check,positions-integrity-last-check,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-integrity-view-details-btn,positions-integrity-view-details-btn,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-integrity-view-diagnostics-link,positions-integrity-view-diagnostics-link,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-integrity-copy-remediation-btn,positions-integrity-copy-remediation-btn,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-integrity-download-bundle-btn,positions-integrity-download-bundle-btn,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-integrity-open-diagnostics-link,positions-integrity-open-diagnostics-link,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-integrity-details-list,positions-integrity-details-list,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,integrity-sample-open-positions,integrity-sample-open-positions,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,integrity-sample-open-diagnostics,integrity-sample-open-diagnostics,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-integrity-check-btn,positions-integrity-check-btn,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-integrity-rebuild-btn,positions-integrity-rebuild-btn,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-integrity-switch-to-computed,positions-integrity-switch-to-computed,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-integrity-diff-counts,positions-integrity-diff-counts,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-integrity-view-diff-details,positions-integrity-view-diff-details,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-integrity-diff-list,positions-integrity-diff-list,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-integrity-view-positions-link,positions-integrity-view-positions-link,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-integrity-computed-note,positions-integrity-computed-note,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-integrity-switch-to-stored,positions-integrity-switch-to-stored,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-compare-panel,positions-compare-panel,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-compare-toggle-btn,positions-compare-toggle-btn,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-compare-diff-summary,positions-compare-diff-summary,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-compare-diff-details,positions-compare-diff-details,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-compare-view-diff-diagnostics,positions-compare-view-diff-diagnostics,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-compare-rebuild-btn,positions-compare-rebuild-btn,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-stale-banner-title,positions-stale-banner-title,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-stale-banner-subtext,positions-stale-banner-subtext,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-stale-rebuild-btn,positions-stale-rebuild-btn,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-rebuild-confirm-modal,positions-rebuild-confirm-modal,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-rebuild-confirm-cancel,positions-rebuild-confirm-cancel,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-rebuild-confirm-ok,positions-rebuild-confirm-ok,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-integrity-check-confirm-modal,positions-integrity-check-confirm-modal,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-integrity-check-confirm-cancel,positions-integrity-check-confirm-cancel,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-integrity-check-confirm-ok,positions-integrity-check-confirm-ok,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-filter-state,positions-filter-state,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-filter-paper,positions-filter-paper,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-filter-type,positions-filter-type,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-filter-symbol,positions-filter-symbol,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-source-label,positions-source-label,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-source-radio-stored,positions-source-radio-stored,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-source-radio-computed,positions-source-radio-computed,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-th-source,positions-th-source,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-th-mark,positions-th-mark,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-row,positions-row,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-cell-source,positions-cell-source,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-cell-mark,positions-cell-mark,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-link-ticket,positions-link-ticket,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-link-journal,positions-link-journal,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
/positions,positions-link-paper,positions-link-paper,SAFE_READ,pages/PositionsPage.tsx,see component,,n/a,manual_only; no broker write,playwright_route_pack,out/verification/R41/screenshots/positions.png
